Question,Answer
"What is the primary reason software engineering is necessary for developing complex software systems?","Software engineering is necessary to provide a structured approach (e.g., blueprint, design, testing, maintenance) to manage complexity, ensure quality, and mimic the success of conventional engineering."
"How does the lack of visualization in software engineering create challenges compared to conventional engineering?","Unlike conventional engineering, software engineering lacks clear visualization, leading to mutual misunderstandings due to the abstract nature of software, making it harder to convey and validate requirements."
"What are the key phases of the software development life cycle model as outlined in the notes?","The phases are: requirement analysis, planning, design, implementation, testing, integration, maintenance, and retirement."
"Describe the waterfall model and its approach to software development.","The waterfall model is a linear, sequential process involving requirement analysis, planning, design, implementation, testing, integration, maintenance, and retirement, mimicking conventional engineering with thorough documentation but limited client-developer communication."
"What are the main advantages of the rapid prototyping model in software engineering?","Rapid prototyping quickly builds system gists to clarify requirements, reducing mutual misunderstandings and negating the waterfall model’s long development cycles and limited communication."
"How does the agile model facilitate communication between developers and clients?","Agile uses frequent communication through daily standups, weekly sprints, and monthly/quarterly PI meetings, ensuring continuous feedback and alignment with client needs."
"What is the spiral model, and how does it incorporate risk analysis?","The spiral model combines waterfall, rapid prototyping, and statistical risk analysis for sequential/parallel connections, reducing risks but requiring significant resources."
"Explain the evolutionary model and its approach to system development.","The evolutionary model partitions the system into builds, constructing them sequentially to reduce risks and improve communication, but planning and integration are challenging unless builds are independent."
"What is mutual misunderstanding in software development, and what causes it?","Mutual misunderstanding occurs when clients and developers assume shared knowledge, leading to overconfidence and ambiguity, primarily due to the innate ambiguity of natural language."
"How can diagrams like use-case diagrams reduce mutual misunderstanding in software projects?","Use-case diagrams visually represent system functionalities and user interactions, clarifying requirements and reducing ambiguity with semi-formal UML notation."
"What role does rapid prototyping play in clarifying requirements between clients and developers?","Rapid prototyping creates quick models (e.g., in Python) to demonstrate system functionality, allowing early feedback and reducing misunderstandings, though it risks creating moving targets."
"How does using a formal method like mathematical modeling help eliminate ambiguity in software requirements?","Mathematical modeling, as a universal language, provides rigorous, unambiguous specifications, eliminating the vagueness inherent in natural language."
"What is double-blind testing, and why is it used to ensure fairness in evaluations?","Double-blind testing ensures neither proctors nor receivers know the test conditions (e.g., in medical trials), preventing bias and ensuring fairness, unlike single-blind testing, which may favor prestigious entities."
"How does A/B testing differ from double-blind testing in software evaluation?","A/B testing randomly tests two feature versions among users to compare performance, while double-blind testing ensures fairness by blinding both proctors and receivers, focusing on unbiased evaluation."
"Describe the process for comparing the performance of two web browsers (e.g., Chrome vs. Safari) using double-blind testing.","Assign users to use Chrome or Safari without knowing which browser they’re using, and ensure testers are unaware of browser assignments. Measure performance metrics (e.g., load time, memory usage) objectively, analyzing results without bias."
"How would you use A/B testing to evaluate specific features of two code editors, such as Vim and VS Code?","Randomly assign developers to use Vim or VS Code with a specific feature (e.g., autocomplete). Collect metrics like task completion time and user satisfaction, then compare results to determine which editor’s feature performs better."
"What are CASE tools, and how do they improve efficiency in software engineering?","CASE (Computer-Aided Software Engineering) tools, like smart editors and version control systems, automate tasks, enhance collaboration, and streamline development, improving efficiency."
"Name two specific CASE tools mentioned in the notes and their purposes.","VS Code: A smart editor for efficient coding and debugging. Git: Version control for collaboration and code management."
"What is computational complexity, and why is it critical in algorithm selection for software systems?","Computational complexity measures algorithm efficiency (e.g., time, space). It’s critical to select algorithms that balance performance and resource usage for scalable, efficient systems."
"Define coupling and cohesion, and explain their significance in modular software design.","Coupling: The degree of interdependence between modules (lower is better). Cohesion: The degree to which a module’s components work together (higher is better). They ensure modular, maintainable, and scalable software design."
"List the levels of cohesion from worst to best as described in the notes.","Coincidental, Logical, Temporal, Procedural, Communicational/Common, Informational, Functional"
"Enumerate the levels of coupling and explain why lower coupling is preferred.","Content, Common/Global, Control, Stamp, All passed data used, No direct relation. Lower coupling reduces module dependencies, enhancing maintainability and flexibility."
"Why must the use of “goto” statements be carefully justified in software systems?","“Goto” statements can lead to content coupling, reducing code understandability and maintainability, requiring strong justification (e.g., per Knuth) to pass code reviews."
"How does a finite state machine (FSM) contribute to system analysis in software engineering?","FSMs model system behavior as states and transitions, recognizing patterns (e.g., binary streams), simplifying analysis of regular language-based systems."
"What distinguishes a state chart from an FSM, and provide an example of its application?","State charts, part of UML, are more powerful with initial/base states, rectangular states, and eventless returns. Example: A vending machine accepting coins for a 30-cent drink, tracking state transitions."
